CT,Boro,Turnover
000100,Bronx,80.9
000200,Bronx,4.9
000400,Bronx,9.4
000500,Bronx,0.0
001100,Bronx,36.5
001500,Bronx,0.0
001600,Bronx,8.4
001700,Bronx,3.8
002000,Bronx,10.3
002300,Bronx,12.4
002400,Bronx,0.0
002500,Bronx,14.1
002701,Bronx,9.0
002702,Bronx,13.7
002800,Bronx,8.8
003100,Bronx,0.6
003300,Bronx,7.4
003500,Bronx,12.5
003600,Bronx,8.4
003700,Bronx,0.0
003800,Bronx,11.8
003900,Bronx,13.6
004001,Bronx,13.6
004002,Bronx,0.0
004100,Bronx,6.3
004300,Bronx,7.6
004400,Bronx,14.1
004600,Bronx,2.4
004700,Bronx,7.0
004800,Bronx,24.5
004900,Bronx,43.9
005000,Bronx,16.1
005200,Bronx,9.0
005301,Bronx,0.0
005302,Bronx,11.9
005400,Bronx,19.3
005600,Bronx,12.4
005700,Bronx,3.5
005800,Bronx,0.0
005901,Bronx,11.6
005902,Bronx,6.3
006000,Bronx,19.2
006100,Bronx,11.0
006200,Bronx,12.8
006400,Bronx,11.6
006500,Bronx,4.4
006600,Bronx,11.7
006700,Bronx,8.2
006800,Bronx,19.5
006900,Bronx,13.8
007000,Bronx,29.3
007100,Bronx,13.4
007200,Bronx,8.1
007300,Bronx,11.1
007400,Bronx,5.5
007500,Bronx,7.8
007700,Bronx,7.0
007800,Bronx,18.5
007900,Bronx,16.2
008100,Bronx,0.0
008300,Bronx,16.7
008400,Bronx,6.8
008500,Bronx,20.1
008600,Bronx,4.8
008700,Bronx,13.3
008800,Bronx,2.6
008900,Bronx,16.7
009100,Bronx,0.0
009200,Bronx,9.5
009400,Bronx,14.9
009700,Bronx,0.0
009800,Bronx,9.7
009900,Bronx,9.8
010200,Bronx,0.0
010500,Bronx,69.3
011000,Bronx,17.7
011501,Bronx,0.6
011502,Bronx,17.2
011800,Bronx,8.9
011900,Bronx,13.6
012101,Bronx,7.0
012102,Bronx,17.0
012300,Bronx,8.0
012500,Bronx,7.9
012701,Bronx,17.9
012702,Bronx,12.9
012901,Bronx,16.9
012902,Bronx,8.7
013000,Bronx,4.6
013100,Bronx,15.1
013200,Bronx,16.7
013300,Bronx,1.3
013500,Bronx,8.4
013700,Bronx,11.4
013800,Bronx,1.7
013900,Bronx,3.7
014100,Bronx,20.5
014300,Bronx,6.8
014400,Bronx,6.7
014500,Bronx,8.5
014700,Bronx,4.9
014900,Bronx,3.5
015100,Bronx,13.7
015300,Bronx,8.1
015400,Bronx,0.0
015500,Bronx,1.7
015600,Bronx,15.0
015700,Bronx,12.2
015800,Bronx,10.6
016000,Bronx,5.6
016100,Bronx,3.4
016200,Bronx,3.8
016300,Bronx,81.3
016400,Bronx,10.4
016500,Bronx,4.9
016600,Bronx,5.4
016700,Bronx,23.4
016900,Bronx,27.3
017100,Bronx,0.0
017300,Bronx,7.3
017500,Bronx,10.2
017700,Bronx,7.6
017900,Bronx,8.9
018100,Bronx,11.0
018300,Bronx,9.5
018400,Bronx,2.9
018700,Bronx,0.0
018900,Bronx,15.1
019300,Bronx,8.8
019400,Bronx,26.1
019500,Bronx,5.4
019600,Bronx,1.3
019700,Bronx,12.9
019800,Bronx,13.1
019900,Bronx,15.1
020100,Bronx,18.4
020200,Bronx,9.6
020400,Bronx,4.8
020500,Bronx,11.8
020601,Bronx,15.9
020602,Bronx,27.3
020800,Bronx,7.8
021000,Bronx,8.3
021100,Bronx,14.9
021200,Bronx,7.7
